english,Your language is english,i will make any telegram bot for $20 - @jolygmanka,get this message,what this bot can?,source code on github,flip coin,translate something,hide advanced menu,flip a coin,tails,heads,write /l {source language} {what language to translate into} {text to translate},examples:,example:,translate error,error translating
esperanto,Via lingvo estas esperanto,mi faros iun telegraman boton por $ 20 - @jolygmanka,ricevu ĉi tiun mesaĝon,kion ĉi tiu bot povas?,fontkodo ĉe github,ĵeti moneron,traduki ion,kaŝi altnivelan menuon,ĵetu moneron,tails,fronto de monero,skribi /t {fontlingvo} {en kiun lingvon traduki} {teksto por traduki},ekzemploj:,ekzemplo:,traduki eraron,eraro tradukante
estonian,Teie keel on eesti keel,teen 20 dollari eest telegrammiboti - @jolygmanka,saada see teade,mida see bot saab?,lähtekood githubis,klapp münt,midagi tõlkima,peida täpsem menüü,münti viskama,sabad,mündi esikülg,kirjutama /t {lähtekeel} {mis keelde tõlkida} {tõlgitav tekst},näited:,näide:,tõlkida viga,viga tõlkimisel
filipino,Ang iyong wika ay filipino,gagawa ako ng anumang bot ng telegram sa halagang $ 20 - @jolygmanka,kunin ang mensaheng ito,ano ang magagawa ng bot na ito?,source code sa github,pitik na barya,isalin ang isang bagay,itago ang advanced menu,pitik ng barya,mga buntot,harap ng barya,sumulat /t {pinagmulang wika} {anong wika ang isasalin sa} {teksto upang isalin},mga halimbawa:,halimbawa:,error sa pagsasalin,error sa pagsalin
finnish,Kielesi on suomi,teen minkä tahansa sähke botin hintaan 20 dollaria - @jolygmanka,saada tämä viesti,mitä tämä botti voi?,lähdekoodi githubissa,käännä kolikko,kääntää jotain,piilota edistynyt valikko,heitä kolikkoa,hännät,kolikon etuosa,kirjoittaa /t {Lähdekieli} {mihin kieleen käännetään} {käännettävä teksti},esimerkkejä:,esimerkki:,käännä virhe,virhe kääntämisessä
french,Votre langue est le français,je ferai n'importe quel bot de télégramme pour 20 $ - @jolygmanka,reçois ce message,ce que ce bot peut?,code source sur github,lancer la pièce,traduire quelque chose,masquer le menu avancé,lancer une pièce,queues,devant de la pièce,écrivez /t {langue originelle} {dans quelle langue traduire} {texte à traduire},exemples:,Exemple:,erreur de traduction,erreur de traduction
frisian,Jo taal is frysk,Ik sil elke telegram bot meitsje foar $ 20 - @jolygmanka,krij dit berjocht,wat dizze bot kin?,boarne koade op github,flip munt,wat oersette,ferbergje avansearre menu,in munt omdraaie,sturten,foarkant fan munt,skriuwe /t {boarnetaal} {yn hokker taal te fertalen} {tekst om oer te setten},foarbylden:,foarbyld:,oersette flater,flater oersette
galician,Tu idioma es el gallego,haré cualquier bot de telegrama por $ 20 - @jolygmanka,recibe este mensaje,¿Qué puede este bot?,código fuente en github,lanzar moneda,traducir algo,ocultar el menú avanzado,lanza una moneda,cruz,anverso de la moneda,escribir /t {lenguaje fuente} {a que idioma traducir} {texto para traducir},ejemplos:,ejemplo:,traducir error,error al traducir
georgian,თქვენი ენაა ქართული,ნებისმიერი დეპეშის ბოტს გავაკეთებ 20 დოლარად - @jolygmanka,მიიღეთ ეს შეტყობინება,რა შეიძლება ამ ბოტს?,საწყისი კოდი github- ზე,ფლიპ მონეტა,თარგმნეთ რამე,მოწინავე მენიუს დამალვა,მონეტის აგდება,კუდები,მონეტის წინა მხარე,დაწერე /t {საწყისი ენა} {რა ენაზე უნდა ითარგმნოს} {ტექსტის თარგმნა},მაგალითები:,მაგალითი:,თარგმნის შეცდომა,თარგმანის შეცდომა
german,Deine Sprache ist Deutsch,Ich werde jeden Telegramm-Bot für 20 $ machen - @jolygmanka,bekomme diese Nachricht,Was kann dieser Bot?,Quellcode auf github,Münze werfen,etwas übersetzen,Erweitertes Menü ausblenden,eine Münze werfen,Schwänze,Vorderseite der Münze,schreiben /t {Ausgangssprache} {in welche Sprache übersetzt werden soll} {zu übersetzender Text},Beispiele:,Beispiel:,Fehler übersetzen,Fehler beim Übersetzen
greek,Η γλώσσα σας είναι ελληνική,θα φτιάξω οποιοδήποτε bot telegram για $ 20 - @jolygmanka,λάβετε αυτό το μήνυμα,τι μπορεί αυτό το bot;,πηγαίος κώδικας στο github,flip κέρμα,μεταφράστε κάτι,απόκρυψη σύνθετου μενού,Ρίξε ένα κέρμα,ουρές,μπροστά από το νόμισμα,γράφω /t {γλώσσα πηγής} {σε ποια γλώσσα θα μεταφραστεί} {κείμενο προς μετάφραση},παραδείγματα:,παράδειγμα:,σφάλμα μετάφρασης,σφάλμα κατά τη μετάφραση
gujarati,તમારી ભાષા ગુજરાતી છે,હું te 20 - @ જોલીગમાંકા માટે કોઈપણ ટેલિગ્રામ બotટ બનાવીશ,આ સંદેશ મેળવો,આ બોટ શું કરી શકે?,ગિથબ પર સ્રોત કોડ,ફ્લિપ સિક્કો,કંઈક ભાષાંતર,અદ્યતન મેનુ છુપાવો,એક સિક્કો ફ્લિપ કરો,પૂંછડીઓ,સિક્કો સામે,લખો /t {સ્રોત ભાષા} {કઈ ભાષામાં ભાષાંતર કરવું} {ભાષાંતર કરવા માટેનો ટેક્સ્ટ},ઉદાહરણો:,ઉદાહરણ:,ભાષાંતર ભૂલ,ભાષાંતર કરવામાં ભૂલ
haitian creole,Lang ou se kreyòl ayisyen,mwen pral fè nenpòt bot telegram pou $ 20 - @jolygmanka,jwenn mesaj sa a,kisa bot sa a kapab?,kòd sous sou github,baskile pyès monnen,tradwi yon bagay,kache meni avanse,baskile yon pyès monnen,tails,devan pyès monnen,ekri /t {lang sous} {ki lang pouw tradwi} {tèks pou tradwi},egzanp:,egzanp:,tradwi erè,erè tradwi
hausa,Yarenku hausa,Zan yi kowane sakon waya na $ 20 - @jolygmanka,samu wannan sakon,menene wannan bot din?,lambar tushe akan github,jefa tsabar kudi,fassara wani abu,ɓoye menu na gaba,jefa tsabar kudi,wutsiyoyi,gaban tsabar kudi,rubuta /t {- asalin harshe} {wane yare za a fassara zuwa} {rubutu don fassara},misalai:,misali:,fassara kuskure,fassarar kuskure
hawaiian,Aloha ʻoe i kāu ʻōlelo,E hana wau i kahi bot telegram no $ 20 - @jolygmanka,e kiʻi i kēia leka,he aha ka hiki i kēia bot?,kumu kumu ma github,ʻili kālā lūlū,unuhi i kekahi mea,peʻe i ka papa kuhikuhi holomua,e hoʻohuli i kahi kālā,tails,mua o ke kālā,kākau /t {ʻōlelo kumu} {he aha ka ʻōlelo e unuhi ai i loko} {kikokiko e unuhi},mau laʻana:,laʻana:,unuhi hemahema,he unuhi hewa
hebrew,השפה שלך היא עברית,אני אכין כל בוט מברק תמורת 20 $ - @jolygmanka,קבל את ההודעה הזו,מה הבוט הזה יכול?,קוד מקור ב- github,הפוך מטבע,לתרגם משהו,להסתיר תפריט מתקדם,תטיל מטבע,tails,חזית המטבע,לִכתוֹב /t {שפת מקור} {לאיזו שפה לתרגם} {טקסט לתרגום},דוגמאות:,דוגמא:,תרגום שגיאה,שגיאה בתרגום
hindi,आपकी भाषा हिंदी है,मैं $20 में कोई भी टेलीग्राम बॉट बनाऊंगा - @jolygmanka,यह संदेश प्राप्त करें,यह बॉट क्या कर सकता है?,जीथब पर स्रोत कोड,फ्लिप सिक्का,कुछ अनुवाद करें,उन्नत मेनू छुपाएं,एक सिक्का पलटें,पूंछ,सिक्के के सामने,लिखो /t {स्रोत भाषा} {किस भाषा में अनुवाद करना है} {अनुवाद करने के लिए पाठ},उदाहरण:,उदाहरण:,अनुवाद त्रुटि,अनुवाद में त्रुटि error
hmong,Koj hom lus yog Hmoob,Kuv yuav ua ib qho telegram bot rau $ 20 - @jolygmanka,tau txais cov lus no,tus kab mob dab tsi no tuaj yeem ua tau?,qhov chaws ntawm github,ntxeev npib,txhais ib yam dab tsi,zais cov ntawv qhia ua noj tshiab,ntxeev npib,tails,ntej ntawm npib,sau /t {hom lus} {txhais lus li cas} {ntawv los txhais lus},piv txwv:,Piv txwv:,txhais yuam kev,yuam kev txhais
hungarian,Az Ön nyelve magyar,bármilyen távirati botot készítek 20 dollárért - @jolygmanka,kapd meg ezt az üzenetet,mit tud ez a bot?,forráskód a githubon,flip érme,lefordít valamit,speciális menü elrejtése,feldobni egy érmét,frakk,érme eleje,ír /t {forrás nyelv} {milyen nyelvre kell lefordítani} {lefordítandó szöveg},példák:,példa:,fordítsa le a hibát,hiba fordítás közben
icelandic,Tungumál þitt er íslenskt,ég mun búa til hvaða símskeyti sem er fyrir $ 20 - @jolygmanka,fáðu þessi skilaboð,hvað getur þessi láni gert?,frumkóða á github,flett mynt,þýða eitthvað,fela háþróaða matseðil,flettu mynt,tails,framan af mynt,skrifa /t {heimildarmál} {hvaða tungumál á að þýða á} {texta til að þýða},dæmi:,dæmi:,þýða villu,villa við þýðingu
igbo,Asusu gi bu igbo,Aga m eme ihe ọ bụla telegram bot maka $ 20 - @jolygmanka,nweta ozi a,ihe a bot nwere ike?,koodu ntinye na github,tụgharịa mkpụrụ ego,tugharia ihe,zoo nchịkọta menu,tụgharịa a na mkpụrụ ego,ọdụ,n'ihu mkpụrụ ego,dee /t {asụsụ isi mmalite} {asụsụ ị ga-asụgharị gaa} {ederede iji tụgharịa asụsụ},atụ:,ịmaatụ:,ịsụgharị njehie,njehie na-atụgharị asụsụ
indonesian,Bahasamu bahasa indonesia,saya akan membuat bot telegram untuk $20 - @jolygmanka,dapatkan pesan ini,apa bot ini bisa?,kode sumber di github,lempar koin,menerjemahkan sesuatu,sembunyikan menu lanjutan,Lempar koin,tails,depan koin,menulis /t {bahasa sumber} {bahasa apa yang harus diterjemahkan} {teks untuk diterjemahkan},contoh:,contoh:,kesalahan terjemahan,kesalahan menerjemahkan
irish,Is Gaeilge do theanga,Déanfaidh mé bot bot teileagram ar $ 20 - @jolygmanka,faigh an teachtaireacht seo,cad is féidir leis an bot seo?,cód foinse ar github,smeach mona,aistrigh rud éigin,folaigh roghchlár chun cinn,smeach bonn,tails,os comhair na mona,scríobh /t {teanga foinse} {cén teanga le haistriú} {téacs le haistriú},samplaí:,sampla:,earráid a aistriú,earráid ag aistriú
italian,La tua lingua è l'italiano,farò qualsiasi bot di telegram per $ 20 - @jolygmanka,ricevi questo messaggio,cosa può fare questo bot?,codice sorgente su github,lancia la moneta,traduci qualcosa,nascondi menu avanzato,lanciare una moneta,code,fronte della moneta,scrivere /t {linguaggio del codice} {in che lingua tradurre} {testo da tradurre},esempi:,esempio:,errore di traduzione,errore di traduzione
japanese,あなたの言語は日本語です,電報ボットを$ 20で作成します-@ jolygmanka,このメッセージを受け取る,このボットは何ができますか？,githubのソースコード,フリップコイン,何かを翻訳する,詳細メニューを非表示,コインを投げる,尾,コインの前,書きます /t {ソース言語} {どの言語に翻訳するか} {翻訳するテキスト},例：,例：,変換エラー,翻訳エラー
javanese,Basa sampeyan nganggo basa jawa,aku bakal nggawe bot telegram kanthi rega $ 20 - @jolygmanka,entuk pesen iki,bot iki bisa apa?,kode sumber ing github,duwit receh loncat karo muter awak,nerjemahake soko,ndhelikake menu lanjut,loncat karo muter awak duwit receh,buntut,ngarep duwit receh,nulis /t {basa sumber} {basa apa kanggo nerjemahake} {teks kanggo nerjemahake},tuladha:,tuladha:,kesalahan nerjemahake,kesalahan nerjemahake
kannada,ನಿಮ್ಮ ಭಾಷೆ ಕನ್ನಡ,ನಾನು ಯಾವುದೇ ಟೆಲಿಗ್ರಾಮ್ ಬೋಟ್ ಅನ್ನು $ 20 - oljolygmanka ಗೆ ಮಾಡುತ್ತೇನೆ,ಈ ಸಂದೇಶವನ್ನು ಪಡೆಯಿರಿ,ಈ ಬೋಟ್ ಏನು ಮಾಡಬಹುದು?,ಗಿಥಬ್‌ನಲ್ಲಿ ಮೂಲ ಕೋಡ್,ಫ್ಲಿಪ್ ನಾಣ್ಯ,ಏನನ್ನಾದರೂ ಅನುವಾದಿಸಿ,ಸುಧಾರಿತ ಮೆನುವನ್ನು ಮರೆಮಾಡಿ,ಒಂದು ನಾಣ್ಯವನ್ನು ತಿರುಗಿಸಿ,ಬಾಲಗಳು,ನಾಣ್ಯದ ಮುಂಭಾಗ,ಬರೆಯಿರಿ /t {ಮೂಲ ಭಾಷೆ} {ಯಾವ ಭಾಷೆಗೆ ಅನುವಾದಿಸಬೇಕು} {ಭಾಷಾಂತರಿಸಲು ಪಠ್ಯ},ಉದಾಹರಣೆಗಳು:,ಉದಾಹರಣೆ:,ಭಾಷಾಂತರ ದೋಷ,ಅನುವಾದಿಸುವಲ್ಲಿ ದೋಷ
kazakh,Сіздің тіліңіз - қазақ тілі,мен кез-келген телеграмма ботын 20 долларға жасаймын - @jolygmanka,осы хабарламаны алыңыз,бұл бот не істей алады?,github-тағы бастапқы код,аударылатын монета,бірдеңе аудару,кеңейтілген мәзірді жасыру,тиынды аудару,құйрықтар,Монетаның алдыңғы бөлігі,жазу /t {бастапқы тіл} {қандай тілге аудару керек} {аударуға арналған мәтін},мысалдар:,мысал:,аударма қатесі,аударма қатесі
khmer,ភាសារបស់អ្នកគឺភាសាខ្មែរ,ខ្ញុំនឹងធ្វើតេស្តិ៍តេឡេក្រាមក្នុងតម្លៃ ២០ ដុល្លារ - @jolygmanka,ទទួលបានសារនេះ,អ្វីដែល bot នេះអាច?,កូដប្រភពនៅលើ github,ត្រឡប់កាក់,បកប្រែអ្វីមួយ,លាក់ម៉ឺនុយកម្រិតខ្ពស់,ត្រឡប់កាក់មួយ,កន្ទុយ,ផ្នែកខាងមុខនៃកាក់,សរសេរ /t {ភាសាប្រភព} {ភាសាដែលត្រូវបកប្រែទៅជាភាសាអ្វី} {អត្ថបទដើម្បីបកប្រែ},ឧទាហរណ៍:,ឧទាហរណ៍ៈ,បកប្រែកំហុស,ការបកប្រែកំហុស
korean,당신의 언어는 한국어입니다,나는 $20에 모든 텔레그램 봇을 만들 것입니다 - @jolygmanka,이 메시지를 받아,이 봇은 무엇을 할 수 있습니까?,github의 소스 코드,플립 코인,뭔가 번역하다,고급 메뉴 숨기기,동전을 뒤집어 라,꼬리,동전 앞,쓰다 /t {소스 언어} {번역할 언어} {번역할 텍스트},예:,예:,번역 오류,번역 오류
kurdish (kurmanji),Senin dilin kürtçe (kurmanci),20 $ için herhangi bir telgraf botu yapacağım - @jolygmanka,bu mesajı al,bu bot ne yapabilir?,github'daki kaynak kodu,yazı tura,bir şeyi tercüme et,gelişmiş menüyü gizle,yazı tura atmak,kuyruklar,madalyonun önü,yazmak /t {kaynak dil} {hangi dile çevrilecek} {çevrilecek metin},örnekler:,örnek:,tercüme hatası,çeviri hatası
kyrgyz,Сиздин тилиңиз кыргызча,Мен каалаган телеграмма ботун 20 долларга жасайм - @jolygmanka,бул билдирүүнү алуу,бул бот эмне кыла алат?,github боюнча баштапкы код,flip coin,бир нерсени которуу,өркүндөтүлгөн менюну жашыруу,тыйын которуу,куйруктар,Монетанын алдыңкы бети,жазуу /t {баштапкы тил} {кайсы тилге которуу керек} {которуу үчүн текст},мисалдар:,мисал:,которуу катасы,которууда ката кетти
lao,ພາສາຂອງທ່ານແມ່ນພາສາລາວ,ຂ້ອຍຈະເຮັດ bot telegram ໃດໆໃນລາຄາ 20 ໂດລາ - @jolygmanka,ໄດ້ຮັບຂໍ້ຄວາມນີ້,ສິ່ງທີ່ bot ນີ້ສາມາດເຮັດໄດ້?,ລະຫັດແຫຼ່ງກ່ຽວກັບ github,flip ຫຼຽນ,ແປບາງສິ່ງບາງຢ່າງ,ເຊື່ອງເມນູຂັ້ນສູງ,flip ຫຼຽນ,ຫາງ,ດ້ານຫນ້າຂອງຫຼຽນ,ຂຽນ /t {ພາສາແຫຼ່ງຂໍ້ມູນ} {ພາສາໃດທີ່ຈະແປເປັນ} {ຂໍ້ຄວາມທີ່ຈະແປ},ຕົວຢ່າງ:,ຕົວຢ່າງ:,ແປຄວາມຜິດພາດ,ການແປຜິດພາດ
latin,La tua lingua è il latino,farò qualsiasi bot di telegram per $ 20 - @jolygmanka,ricevi questo messaggio,cosa può fare questo bot?,codice sorgente su github,lancia la moneta,traduci qualcosa,nascondi menu avanzato,lanciare una moneta,code,fronte della moneta,scrivere /t {linguaggio del codice} {in che lingua tradurre} {testo da tradurre},esempi:,esempio:,errore di traduzione,errore di traduzione
latvian,Jūsu valoda ir latviešu,es taisīšu jebkuru telegrammas botu par 20 USD - @jolygmanka,saņemt šo ziņu,ko šis bots var?,avota kods vietnē github,uzsist monētu,kaut ko tulkot,slēpt izvērsto izvēlni,uzsist monētu,astes,monētas priekšpuse,rakstīt /t {pirmvaloda} {kādā valodā tulkot} {tulkojams teksts},piemēri:,piemērs:,tulkot kļūdu,tulkošanas kļūda
lithuanian,Tavo kalba yra lietuvių,padarysiu bet kokį telegramos robotą už 20 USD - @jolygmanka,gauti šią žinutę,ką šis botas gali?,šaltinio kodas „github“,apversti monetą,ką nors išversti,slėpti išplėstinį meniu,mesti monetą,uodegos,monetos priekis,rašyti /t {pirminė kalba} {į kokią kalbą versti} {verstinas tekstas},pavyzdžiai:,pavyzdys:,išversti klaidą,klaida verčiant
luxembourgish,Ihre Sprache ist Luxemburgisch,Ich werde jeden Telegramm-Bot für 20 $ machen - @jolygmanka,bekomme diese Nachricht,Was kann dieser Bot?,Quellcode auf github,Münze werfen,etwas übersetzen,Erweitertes Menü ausblenden,eine Münze werfen,Schwänze,Vorderseite der Münze,schreiben /t {Ausgangssprache} {in welche Sprache übersetzt werden soll} {zu übersetzender Text},Beispiele:,Beispiel:,Fehler übersetzen,Fehler beim Übersetzen
macedonian,Вашиот јазик е македонски,ќе направам кој било телеграмски бот за 20 долари - @jolygmanka,добиете ја оваа порака,што може овој бот?,изворен код на github,флип паричка,преведе нешто,скриј напредно мени,флип паричка,опашки,пред монета,пиши /t {изворен јазик} {на кој јазик да се преведе} {текст за превод},примери:,пример:,грешка во преводот,грешка во преводот
malagasy,Ny fiteninao dia malagasy,hanao bot telegrama aho amin'ny $ 20 - @jolygmanka,raiso ity hafatra ity,inona no azon'ity bot ity?,kaody loharano ao amin'ny github,farantsakely miolakolaka,mandika zavatra,afeno ny menio mandroso,Atsimbadika ny farantsakely iray,rambony,manoloana ny vola madinika,soraty /t {fiteny loharano} {fiteny inona no adika} {lahatsoratra handika},ohatra:,ohatra:,mandika hadisoana,fandikana hadisoana
